price	n_bedrooms	place	url	address	distance	time
$1995	1br	UTC, La Jolla, UCSD, San Diego	https://sandiego.craigslist.org//csd/apa/5450020406.html	3520 Lebon Dr.	2.6 mi	8 mins
$1995	1br	UTC, La Jolla, UCSD, San Diego	https://sandiego.craigslist.org//csd/apa/5421909083.html	3520 Lebon Dr.	2.6 mi	8 mins
$1995	1br	UTC, La Jolla, UCSD, San Diego	https://sandiego.craigslist.org//csd/apa/5452088894.html	3520 Lebon Dr.	2.6 mi	8 mins
$1995	1br	UTC, La Jolla, UCSD, San Diego	https://sandiego.craigslist.org//csd/apa/5435884040.html	3520 Lebon Dr.	2.6 mi	8 mins
$3400	3br	La Jolla/UCSD	https://sandiego.craigslist.org//csd/apa/5450979411.html	8274 Caminito Sonoma	3.0 mi	8 mins
$2700	3br	UCSD-UTC	https://sandiego.craigslist.org//csd/apa/5450970616.html	caminito modena at caminito sonoma	3.2 mi	9 mins
$2300	3br	UTC-UCSD	https://sandiego.craigslist.org//csd/apa/5450965362.html	vision drive at easter way	2.7 mi	9 mins
$1599	1br	UCSD / UTC / La Jolla	https://sandiego.craigslist.org//csd/apa/5434252745.html	nobel at lebon	3.5 mi	10 mins
$1995	1br	UTC, La Jolla, UCSD, San Diego	https://sandiego.craigslist.org//csd/apa/5450832452.html	3520 Lebon Dr.	2.6 mi	8 mins
$1995	1br	UTC, La Jolla, UCSD, San Diego	https://sandiego.craigslist.org//csd/apa/5403294480.html	3520 Lebon Dr.	2.6 mi	8 mins
$2250	1br	UTC/ UCSD	https://sandiego.craigslist.org//csd/apa/5446012238.html	3440 Lebon Dr.	2.8 mi	8 mins
$1995	1br	UTC, La Jolla, UCSD, San Diego	https://sandiego.craigslist.org//csd/apa/5405851459.html	3520 Lebon Dr.	2.6 mi	8 mins
$4200	5br	UCSD/University City	https://sandiego.craigslist.org//csd/apa/5438840551.html	6087 Charae Street	5.1 mi	15 mins
$1895	2br	La Jolla / UTC / San Diego	https://sandiego.craigslist.org//csd/apa/5454330064.html	9515 Genesee Ave	2.3 mi	7 mins
$1450	1br	La Jolla / UTC / San Diego	https://sandiego.craigslist.org//csd/apa/5454322718.html	9515 Genesee Ave	2.3 mi	7 mins
$3378	3br	La jolla / UTC	https://sandiego.craigslist.org//csd/apa/5454304545.html	5305 Toscana Way	4.1 mi	13 mins
$1850	3br	CLAIREMONT	https://sandiego.craigslist.org//csd/apa/5453844186.html	6520 Beadnell Way	10.2 mi	17 mins
$1515	1br		https://sandiego.craigslist.org//csd/apa/5453834468.html	Genesee Ave. at Fez St.	7.0 mi	13 mins
$1895	2br	La Jolla / UTC / San Diego	https://sandiego.craigslist.org//csd/apa/5453626699.html	9515 Genesee Ave	2.3 mi	7 mins
$1408	1br	La Jolla, UCSD, San Diego, UTC	https://sandiego.craigslist.org//csd/apa/5453642254.html	via mallorca at villa la jolla drive	2.6 mi	7 mins
$885	2br	5155-5158 Luigi Ter, San Diego, CA	https://sandiego.craigslist.org//csd/apa/5453613173.html	5155 Luigi Terrace		
$880	2br	9545 Genesee Ave, San Diego, CA	https://sandiego.craigslist.org//csd/apa/5453597560.html	9545 Genesee Ave	2.2 mi	7 mins
$1408	1br	La Jolla, UCSD, San Diego, UTC	https://sandiego.craigslist.org//csd/apa/5452904177.html	via mallorca at villa la jolla drive	2.6 mi	7 mins
$1495	1br	La Jolla / UTC / San Diego	https://sandiego.craigslist.org//csd/apa/5452791284.html	9515 Genesee Ave	2.3 mi	7 mins
$1895	2br	La Jolla / UTC / San Diego	https://sandiego.craigslist.org//csd/apa/5452789933.html	9515 Genesee Ave	2.3 mi	7 mins
