	count	proportion
,	23.0	0.0682492581602
-	20.0	0.0593471810089
!	15.0	0.0445103857567
/	11.0	0.0326409495549
*	10.0	0.0296735905045
in	9.0	0.026706231454
$	8.0	0.0237388724036
MESA	6.0	0.0178041543027
OK	5.0	0.0148367952522
COLLEGE	5.0	0.0148367952522
UCSD	5.0	0.0148367952522
2	5.0	0.0148367952522
1br	5.0	0.0148367952522
PETS	5.0	0.0148367952522
Fully	4.0	0.0118694362018
Victorian	4.0	0.0118694362018
Upgraded	4.0	0.0118694362018
Move	4.0	0.0118694362018
Great	4.0	0.0118694362018
Location	4.0	0.0118694362018
East	4.0	0.0118694362018
special	4.0	0.0118694362018
Downtown	4.0	0.0118694362018
Historic	4.0	0.0118694362018
off	4.0	0.0118694362018
MINS	4.0	0.0118694362018
House	4.0	0.0118694362018
150	4.0	0.0118694362018
Village	4.0	0.0118694362018
BA	3.0	0.00890207715134
PARK	3.0	0.00890207715134
650ft2	3.0	0.00890207715134
1930s	3.0	0.00890207715134
1375	3.0	0.00890207715134
3	3.0	0.00890207715134
Garage	3.0	0.00890207715134
W	3.0	0.00890207715134
3BD	3.0	0.00890207715134
QUIET	3.0	0.00890207715134
Restored	3.0	0.00890207715134
NORTH	3.0	0.00890207715134
2BA	3.0	0.00890207715134
Gym	2.0	0.00593471810089
D	2.0	0.00593471810089
Bowling	2.0	0.00593471810089
VaultedCeilings	2.0	0.00593471810089
Alley	2.0	0.00593471810089
BED	2.0	0.00593471810089
COMPLEX	2.0	0.00593471810089
RADY	2.0	0.00593471810089
Star	2.0	0.00593471810089
GardenApt	2.0	0.00593471810089
&	2.0	0.00593471810089
with	2.0	0.00593471810089
1	2.0	0.00593471810089
5	2.0	0.00593471810089
BALBOA	2.0	0.00593471810089
AC	2.0	0.00593471810089
FROM	2.0	0.00593471810089
Perfect	1.0	0.00296735905045
Warm	1.0	0.00296735905045
BR	1.0	0.00296735905045
SHOPS	1.0	0.00296735905045
Hills	1.0	0.00296735905045
Urban	1.0	0.00296735905045
Serene	1.0	0.00296735905045
apartment	1.0	0.00296735905045
to	1.0	0.00296735905045
New	1.0	0.00296735905045
NEAR	1.0	0.00296735905045
1x1	1.0	0.00296735905045
Spa	1.0	0.00296735905045
Weekly	1.0	0.00296735905045
Townhome	1.0	0.00296735905045
SHOPPING	1.0	0.00296735905045
Pet	1.0	0.00296735905045
ATTACHED	1.0	0.00296735905045
LARGE	1.0	0.00296735905045
our	1.0	0.00296735905045
for	1.0	0.00296735905045
+	1.0	0.00296735905045
Safe	1.0	0.00296735905045
ONLY	1.0	0.00296735905045
Heat	1.0	0.00296735905045
Wateridge	1.0	0.00296735905045
TOWNHOUSE	1.0	0.00296735905045
Central	1.0	0.00296735905045
S	1.0	0.00296735905045
2bath	1.0	0.00296735905045
Furnished	1.0	0.00296735905045
quiet	1.0	0.00296735905045
Apt	1.0	0.00296735905045
DRYER	1.0	0.00296735905045
Bedroom	1.0	0.00296735905045
2x2	1.0	0.00296735905045
BRIGHT	1.0	0.00296735905045
Lease	1.0	0.00296735905045
.	1.0	0.00296735905045
NEWER	1.0	0.00296735905045
Come	1.0	0.00296735905045
XL	1.0	0.00296735905045
Sanctuary	1.0	0.00296735905045
Vaulted	1.0	0.00296735905045
See	1.0	0.00296735905045
and	1.0	0.00296735905045
CAR	1.0	0.00296735905045
1200	1.0	0.00296735905045
Spacious	1.0	0.00296735905045
Beach	1.0	0.00296735905045
Friendly	1.0	0.00296735905045
garden	1.0	0.00296735905045
Garden	1.0	0.00296735905045
LA	1.0	0.00296735905045
2BR	1.0	0.00296735905045
TO	1.0	0.00296735905045
setting	1.0	0.00296735905045
Rental	1.0	0.00296735905045
Cliff	1.0	0.00296735905045
Ocean	1.0	0.00296735905045
Ceilings	1.0	0.00296735905045
2008	1.0	0.00296735905045
Patio	1.0	0.00296735905045
Cafe	1.0	0.00296735905045
Modern	1.0	0.00296735905045
Zen	1.0	0.00296735905045
Mission	1.0	0.00296735905045
Community	1.0	0.00296735905045
GARAGE	1.0	0.00296735905045
3X2	1.0	0.00296735905045
block	1.0	0.00296735905045
WASHER	1.0	0.00296735905045
