	count	proportion
!	168.0	0.107623318386
,	67.0	0.0429212043562
*	60.0	0.0384368994234
-	34.0	0.0217809096733
1st	33.0	0.0211402946829
2	33.0	0.0211402946829
/	33.0	0.0211402946829
Month	29.0	0.0185778347213
Bedroom	26.0	0.0166559897502
UCSD	20.0	0.0128122998078
Two	17.0	0.0108904548366
in	16.0	0.0102498398463
La	15.0	0.00960922485586
Free	15.0	0.00960922485586
Jolla	15.0	0.00960922485586
Home	14.0	0.00896860986547
Beautiful	14.0	0.00896860986547
.	14.0	0.00896860986547
In	14.0	0.00896860986547
&	13.0	0.00832799487508
$	12.0	0.00768737988469
Near	12.0	0.00768737988469
A	11.0	0.0070467648943
3	11.0	0.0070467648943
UTC	11.0	0.0070467648943
Modern	11.0	0.0070467648943
Amazing	10.0	0.00640614990391
Luxury	10.0	0.00640614990391
3x2	9.0	0.00576553491352
Off	9.0	0.00576553491352
Move	9.0	0.00576553491352
500	9.0	0.00576553491352
And	9.0	0.00576553491352
Master	9.0	0.00576553491352
2x2	9.0	0.00576553491352
1	8.0	0.00512491992313
View	8.0	0.00512491992313
Location	8.0	0.00512491992313
Rent	8.0	0.00512491992313
Luxurious	8.0	0.00512491992313
Dual	8.0	0.00512491992313
to	7.0	0.00448430493274
+	7.0	0.00448430493274
W	7.0	0.00448430493274
With	7.0	0.00448430493274
bedroom	7.0	0.00448430493274
condo	7.0	0.00448430493274
Low	7.0	0.00448430493274
FREE	7.0	0.00448430493274
Is	7.0	0.00448430493274
for	7.0	0.00448430493274
'	6.0	0.00384368994234
This	6.0	0.00384368994234
See	6.0	0.00384368994234
Deposits	6.0	0.00384368994234
Shopping	6.0	0.00384368994234
Close	6.0	0.00384368994234
Balcony	6.0	0.00384368994234
Living	6.0	0.00384368994234
Tour	6.0	0.00384368994234
Waive	6.0	0.00384368994234
Application	6.0	0.00384368994234
Newly	6.0	0.00384368994234
2bath	6.0	0.00384368994234
Special	6.0	0.00384368994234
floor	6.0	0.00384368994234
Immediate	5.0	0.00320307495195
