	count	proportion
,	86.0	0.0710743801653
!	83.0	0.0685950413223
/	40.0	0.0330578512397
*	40.0	0.0330578512397
-	30.0	0.0247933884298
UTC	24.0	0.0198347107438
2	23.0	0.0190082644628
.	21.0	0.0173553719008
$	20.0	0.0165289256198
OAC	19.0	0.0157024793388
199	19.0	0.0157024793388
00	19.0	0.0157024793388
in	18.0	0.0148760330579
Bedroom	16.0	0.0132231404959
NEW	16.0	0.0132231404959
1	16.0	0.0132231404959
Pets	15.0	0.0123966942149
Washer	14.0	0.0115702479339
Dryer	14.0	0.0115702479339
UCSD	14.0	0.0115702479339
One	14.0	0.0115702479339
to	13.0	0.0107438016529
Each	13.0	0.0107438016529
25lbs	13.0	0.0107438016529
Deposit	11.0	0.00909090909091
Special	11.0	0.00909090909091
Great	11.0	0.00909090909091
CONDO	10.0	0.00826446280992
Furnished	10.0	0.00826446280992
Apartment	10.0	0.00826446280992
Move	9.0	0.00743801652893
Home	9.0	0.00743801652893
1st	9.0	0.00743801652893
Beautiful	8.0	0.00661157024793
DEPOSIT	8.0	0.00661157024793
Condo	7.0	0.00578512396694
the	7.0	0.00578512396694
Free	6.0	0.00495867768595
Scripps	6.0	0.00495867768595
condo	6.0	0.00495867768595
Month	6.0	0.00495867768595
Come	6.0	0.00495867768595
Experience	6.0	0.00495867768595
Spacious	6.0	0.00495867768595
and	6.0	0.00495867768595
Difference	6.0	0.00495867768595
Available	6.0	0.00495867768595
LOFT	5.0	0.00413223140496
furnished	5.0	0.00413223140496
MOVE	5.0	0.00413223140496
25	5.0	0.00413223140496
LBS	5.0	0.00413223140496
ALL	5.0	0.00413223140496
Jolla	5.0	0.00413223140496
close	5.0	0.00413223140496
&	5.0	0.00413223140496
quiet	5.0	0.00413223140496
unit	5.0	0.00413223140496
TODAY	5.0	0.00413223140496
shopping	5.0	0.00413223140496
La	5.0	0.00413223140496
1ba	5.0	0.00413223140496
PETS	5.0	0.00413223140496
beach	5.0	0.00413223140496
FEES	4.0	0.00330578512397
MODERN	4.0	0.00330578512397
Fully	4.0	0.00330578512397
1b	4.0	0.00330578512397
OF	4.0	0.00330578512397
on	4.0	0.00330578512397
PET	4.0	0.00330578512397
walk	4.0	0.00330578512397
NO	4.0	0.00330578512397
1BR	4.0	0.00330578512397
EACH	4.0	0.00330578512397
1bd	4.0	0.00330578512397
A	4.0	0.00330578512397
IN	4.0	0.00330578512397
month	3.0	0.00247933884298
apartment	3.0	0.00247933884298
location	3.0	0.00247933884298
Now	3.0	0.00247933884298
BEAUTIFUL	3.0	0.00247933884298
Verano	3.0	0.00247933884298
where	3.0	0.00247933884298
TO	3.0	0.00247933884298
Live	3.0	0.00247933884298
Newly	3.0	0.00247933884298
everything	3.0	0.00247933884298
W	3.0	0.00247933884298
your	3.0	0.00247933884298
with	3.0	0.00247933884298
Love	3.0	0.00247933884298
near	3.0	0.00247933884298
1br	3.0	0.00247933884298
you	3.0	0.00247933884298
CONTEMPORARY	3.0	0.00247933884298
off	3.0	0.00247933884298
bedroom	2.0	0.00165289256198
WITH	2.0	0.00165289256198
FURNISHED	2.0	0.00165289256198
D	2.0	0.00165289256198
Tour	2.0	0.00165289256198
SLEEK	2.0	0.00165289256198
LIVING	2.0	0.00165289256198
Villa	2.0	0.00165289256198
BR	2.0	0.00165289256198
'	2.0	0.00165289256198
Today	2.0	0.00165289256198
FULLY	2.0	0.00165289256198
Venetian	2.0	0.00165289256198
Near	2.0	0.00165289256198
Renovated	2.0	0.00165289256198
1BATH	2.0	0.00165289256198
GORGEOUS	2.0	0.00165289256198
Gorgeous	2.0	0.00165289256198
FROM	2.0	0.00165289256198
1BED	2.0	0.00165289256198
UPGRADES	2.0	0.00165289256198
Walk	2.0	0.00165289256198
Close	2.0	0.00165289256198
ITS	2.0	0.00165289256198
Vicenza	2.0	0.00165289256198
AT	2.0	0.00165289256198
LOTS	2.0	0.00165289256198
OASIS	2.0	0.00165289256198
Half	2.0	0.00165289256198
Ocean	2.0	0.00165289256198
Patio	2.0	0.00165289256198
CITY	2.0	0.00165289256198
1bedroom	2.0	0.00165289256198
Modern	2.0	0.00165289256198
In	2.0	0.00165289256198
LOCATION	1.0	0.000826446280992
shape	1.0	0.000826446280992
STEPS	1.0	0.000826446280992
Ralphs	1.0	0.000826446280992
BEST	1.0	0.000826446280992
Big	1.0	0.000826446280992
Torrey	1.0	0.000826446280992
money	1.0	0.000826446280992
Hers	1.0	0.000826446280992
AWAY	1.0	0.000826446280992
LaJolla	1.0	0.000826446280992
Joe	1.0	0.000826446280992
Amen	1.0	0.000826446280992
Upgraded	1.0	0.000826446280992
updated	1.0	0.000826446280992
views	1.0	0.000826446280992
Breezes	1.0	0.000826446280992
600ft2	1.0	0.000826446280992
Large	1.0	0.000826446280992
Fitness	1.0	0.000826446280992
THE	1.0	0.000826446280992
bath	1.0	0.000826446280992
furniture	1.0	0.000826446280992
Just	1.0	0.000826446280992
nicely	1.0	0.000826446280992
BRAND	1.0	0.000826446280992
Colony	1.0	0.000826446280992
EVERYTHING	1.0	0.000826446280992
19	1.0	0.000826446280992
Bright	1.0	0.000826446280992
fully	1.0	0.000826446280992
Remodel	1.0	0.000826446280992
view	1.0	0.000826446280992
STONE	1.0	0.000826446280992
WELCOME	1.0	0.000826446280992
For	1.0	0.000826446280992
KIND	1.0	0.000826446280992
village	1.0	0.000826446280992
AC	1.0	0.000826446280992
Soon	1.0	0.000826446280992
Complex	1.0	0.000826446280992
Bath	1.0	0.000826446280992
TUSCANA	1.0	0.000826446280992
special	1.0	0.000826446280992
More	1.0	0.000826446280992
Lowest	1.0	0.000826446280992
Fire	1.0	0.000826446280992
+	1.0	0.000826446280992
Courtyard	1.0	0.000826446280992
3	1.0	0.000826446280992
Floors	1.0	0.000826446280992
VIDEO	1.0	0.000826446280992
use	1.0	0.000826446280992
